# required packages for NextFerretOS.
7zip/stable,now 25.01+dfsg-1~deb13u1 amd64 [installed,automatic]
accountsservice/stable,now 23.13.9-7 amd64 [installed,automatic]
accountwizard/stable,now 4:24.12.3-1+deb13u1 amd64 [installed,automatic]
adduser/stable,now 3.152 all [installed]
adwaita-icon-theme/stable,now 48.1-1 all [installed,automatic]
aha/stable,now 0.5.1-3 amd64 [installed,automatic]
akonadi-backend-sqlite/stable,now 4:24.12.3-1 all [installed,automatic]
akonadi-contacts-data/stable,now 4:24.12.3-1 all [installed,automatic]
akonadi-mime-data/stable,now 4:24.12.3-1 all [installed,automatic]
akonadi-server/stable,now 4:24.12.3-1 amd64 [installed,automatic]
akregator/stable,now 4:24.12.3-1 amd64 [installed,automatic]
alsa-topology-conf/stable,now 1.2.5.1-3 all [installed,automatic]
alsa-ucm-conf/stable,now 1.2.14-1 all [installed,automatic]
amd64-microcode/stable,now 3.20250311.1 amd64 [installed,automatic]
apparmor/stable,now 4.1.0-1 amd64 [installed,automatic]
appstream/stable,now 1.0.5-1 amd64 [installed,automatic]
apt-config-icons-hidpi/stable,now 1.0.5-1 all [installed,automatic]
apt-config-icons-large-hidpi/stable,now 1.0.5-1 all [installed,automatic]
apt-config-icons-large/stable,now 1.0.5-1 all [installed,automatic]
apt-config-icons/stable,now 1.0.5-1 all [installed,automatic]
apt-utils/stable,now 3.0.3 amd64 [installed]
apt/stable,now 3.0.3 amd64 [installed]
arch-test/stable,now 0.22-1 all [installed,automatic]
ark/stable,now 4:25.04.3-1 amd64 [installed,automatic]
aspell-en/stable,now 2020.12.07-0-1 all [installed,automatic]
aspell/stable,now 0.60.8.1-4 amd64 [installed,automatic]
at-spi2-common/stable,now 2.56.2-1+deb13u1 all [installed,automatic]
at-spi2-core/stable,now 2.56.2-1+deb13u1 amd64 [installed,automatic]
baloo6/stable,now 6.13.0-1 amd64 [installed,automatic]
base-files/stable,now 13.8+deb13u3 amd64 [installed]
base-passwd/stable,now 3.6.7 amd64 [installed]
bash/stable,now 5.2.37-2+b7 amd64 [installed]
binutils-common/stable,now 2.44-3 amd64 [installed,automatic]
binutils-x86-64-linux-gnu/stable,now 2.44-3 amd64 [installed,automatic]
binutils/stable,now 2.44-3 amd64 [installed,automatic]
bluedevil/stable,now 4:6.3.4-2 amd64 [installed,automatic]
bluez-obexd/stable,now 5.82-1.1 amd64 [installed,automatic]
bluez/stable,now 5.82-1.1 amd64 [installed,automatic]
bolt/stable,now 0.9.8-1 amd64 [installed,automatic]
breeze-cursor-theme/stable,now 4:6.3.5-1 all [installed,automatic]
breeze-gtk-theme/stable,now 6.3.4-1 amd64 [installed,automatic]
breeze-icon-theme/stable,now 4:5.116.0-1 all [installed,automatic]
breeze-wallpaper/stable,now 4:6.3.5-1 all [installed,automatic]
breeze/stable,now 4:6.3.5-1 amd64 [installed,automatic]
bsdextrautils/stable,now 2.41-5 amd64 [installed,automatic]
bsdutils/stable,now 1:2.41-5 amd64 [installed]
btrfs-progs/stable,now 6.14-1 amd64 [installed]
bubblewrap/stable,now 0.11.0-2 amd64 [installed,automatic]
build-essential/stable,now 12.12 amd64 [installed,automatic]
bup-doc/stable,now 0.33.7-1 all [installed,automatic]
bup/stable,now 0.33.7-1 amd64 [installed,automatic]
busybox/stable,now 1:1.37.0-6+b5 amd64 [installed,automatic]
bzip2/stable,now 1.0.8-6 amd64 [installed,automatic]
ca-certificates/stable,now 20250419 all [installed,automatic]
cage/stable,now 0.2.0-2 amd64 [installed]
catdoc/stable,now 1:0.95-6 amd64 [installed,automatic]
clinfo/stable,now 3.0.25.02.14-1 amd64 [installed,automatic]
coreutils/stable,now 9.7-3 amd64 [installed]
cpio/stable,now 2.15+dfsg-2 amd64 [installed]
cpp-14-x86-64-linux-gnu/stable,now 14.2.0-19 amd64 [installed,automatic]
cpp-14/stable,now 14.2.0-19 amd64 [installed,automatic]
cpp-x86-64-linux-gnu/stable,now 4:14.2.0-1 amd64 [installed,automatic]
cpp/stable,now 4:14.2.0-1 amd64 [installed,automatic]
cron-daemon-common/stable,now 3.0pl1-197 all [installed]
cron/stable,now 3.0pl1-197 amd64 [installed]
cryfs/stable,now 0.11.4-3 amd64 [installed,automatic]
cryptsetup-bin/stable,now 2:2.7.5-2 amd64 [installed,automatic]
cryptsetup/stable,now 2:2.7.5-2 amd64 [installed]
cups-bsd/stable,now 2.4.10-3+deb13u2 amd64 [installed,automatic]
cups-client/stable,now 2.4.10-3+deb13u2 amd64 [installed,automatic]
cups-common/stable,now 2.4.10-3+deb13u2 all [installed,automatic]
dash/stable,now 0.5.12-12 amd64 [installed]
dbus-bin/stable,now 1.16.2-2 amd64 [installed,automatic]
dbus-daemon/stable,now 1.16.2-2 amd64 [installed,automatic]
dbus-session-bus-common/stable,now 1.16.2-2 all [installed,automatic]
dbus-system-bus-common/stable,now 1.16.2-2 all [installed,automatic]
dbus-user-session/stable,now 1.16.2-2 amd64 [installed,automatic]
dbus/stable,now 1.16.2-2 amd64 [installed,automatic]
dconf-gsettings-backend/stable,now 0.40.0-5 amd64 [installed,automatic]
dconf-service/stable,now 0.40.0-5 amd64 [installed,automatic]
debconf-i18n/stable,now 1.5.91 all [installed]
debconf/stable,now 1.5.91 all [installed]
debian-archive-keyring/stable,now 2025.1 all [installed]
debianutils/stable,now 5.23.2 amd64 [installed]
debootstrap/stable,now 1.0.141 all [installed]
dhcpcd-base/stable,now 1:10.1.0-11+deb13u2 amd64 [installed]
dialog/stable,now 1.3-20250116-1 amd64 [installed]
dictionaries-common/stable,now 1.30.10 all [installed,automatic]
diffutils/stable,now 1:3.10-4 amd64 [installed]
dirmngr/stable,now 2.4.7-21+deb13u1+b1 amd64 [installed,automatic]
distro-info-data/stable,now 0.66+deb13u1 all [installed,automatic]
distro-info/stable,now 1.13 amd64 [installed,automatic]
dmidecode/stable,now 3.6-2 amd64 [installed]
dmsetup/stable,now 2:1.02.205-2 amd64 [installed,automatic]
dns-root-data/stable,now 2025080400~deb13u1 all [installed,automatic]
dnsmasq-base/stable,now 2.91-1 amd64 [installed,automatic]
docbook-xml/stable,now 4.5-13 all [installed,automatic]
docbook-xsl/stable,now 1.79.2+dfsg-7 all [installed,automatic]
dolphin-data/stable,now 4:25.04.3-1 all [installed,automatic]
dolphin-doc/stable,now 4:25.04.3-1 all [installed,automatic]
dolphin-plugins/stable,now 4:25.04.0-1 amd64 [installed,automatic]
dolphin/stable,now 4:25.04.3-1 amd64 [installed,automatic]
dosfstools/stable,now 4.2-1.2 amd64 [installed]
dpkg-dev/stable,now 1.22.21 all [installed,automatic]
dpkg/stable,now 1.22.21 amd64 [installed]
dracut-install/stable,now 106-6 amd64 [installed,automatic]
dragonplayer/stable,now 4:25.04.0-3 amd64 [installed,automatic]
drkonqi/stable,now 6.3.4-1 amd64 [installed,automatic]
e2fsprogs/stable,now 1.47.2-3+b7 amd64 [installed]
efibootmgr/stable,now 18-2 amd64 [installed,automatic]
eject/stable,now 2.41-5 amd64 [installed,automatic]
emacsen-common/stable,now 3.0.8 all [installed,automatic]
evolution-data-server-common/stable,now 3.56.2-0+deb13u1 all [installed,automatic]
exfatprogs/stable,now 1.2.9-1+deb13u1 amd64 [installed,automatic]
fakeroot/stable,now 1.37.1.1-1 amd64 [installed,automatic]
fdisk/stable,now 2.41-5 amd64 [installed]
ffmpegthumbs/stable,now 4:25.04.0-2 amd64 [installed,automatic]
findutils/stable,now 4.10.0-3 amd64 [installed]
firefox-esr/stable-security,now 140.7.0esr-1~deb13u1 amd64 [installed,automatic]
firmware-amd-graphics/stable,now 20250410-2 all [installed,automatic]
firmware-ath9k-htc/stable,now 1.4.0-110-ge888634+dfsg1-0.1 all [installed]
firmware-carl9170/stable,now 1.9.9-450-gad1c721+dfsg-0.1 all [installed]
firmware-intel-graphics/stable,now 20250410-2 all [installed,automatic]
firmware-intel-misc/stable,now 20250410-2 all [installed,automatic]
firmware-linux-free/stable,now 20241210-2 all [installed]
firmware-linux-nonfree/stable,now 20250410-2 all [installed,automatic]
firmware-linux/stable,now 20250410-2 all [installed]
firmware-mediatek/stable,now 20250410-2 all [installed,automatic]
firmware-misc-nonfree/stable,now 20250410-2 all [installed,automatic]
firmware-nvidia-graphics/stable,now 20250410-2 all [installed,automatic]
fontconfig-config/stable,now 2.15.0-2.3 amd64 [installed,automatic]
fontconfig/stable,now 2.15.0-2.3 amd64 [installed]
fonts-cantarell/stable,now 0.303.1-4 all [installed,automatic]
fonts-dejavu-core/stable,now 2.37-8 all [installed,automatic]
fonts-dejavu-mono/stable,now 2.37-8 all [installed,automatic]
fonts-droid-fallback/stable,now 1:8.1.0r7-1~1.gbp36536b all [installed,automatic]
fonts-hack/stable,now 3.003-3 all [installed,automatic]
fonts-liberation-sans-narrow/stable,now 1:1.07.6-4 all [installed,automatic]
fonts-liberation/stable,now 1:2.1.5-3 all [installed,automatic]
fonts-noto-cjk-extra/stable,now 1:20240730+repack1-1 all [installed,automatic]
fonts-noto-cjk/stable,now 1:20240730+repack1-1 all [installed,automatic]
fonts-noto-color-emoji/stable,now 2.051-0+deb13u1 all [installed,automatic]
fonts-noto-core/stable,now 20201225-2 all [installed,automatic]
fonts-noto-extra/stable,now 20201225-2 all [installed,automatic]
fonts-noto-mono/stable,now 20201225-2 all [installed,automatic]
fonts-noto-ui-core/stable,now 20201225-2 all [installed,automatic]
fonts-noto-ui-extra/stable,now 20201225-2 all [installed,automatic]
fonts-noto-unhinted/stable,now 20201225-2 all [installed,automatic]
fonts-noto/stable,now 20201225-2 all [installed,automatic]
fonts-quicksand/stable,now 0.2016-2.1 all [installed,auto-removable]
fonts-urw-base35/stable,now 20200910-8 all [installed,automatic]
fprintd/stable,now 1.94.5-2 amd64 [installed,automatic]
frameworkintegration6/stable,now 6.13.0-2 amd64 [installed,automatic]
fuse3/stable,now 3.17.2-3 amd64 [installed,automatic]
fwupd-amd64-signed/stable,now 1:1.7+1 amd64 [installed,automatic]
fwupd/stable,now 2.0.8-3 amd64 [installed,automatic]
g++-14-x86-64-linux-gnu/stable,now 14.2.0-19 amd64 [installed,automatic]
g++-14/stable,now 14.2.0-19 amd64 [installed,automatic]
g++-x86-64-linux-gnu/stable,now 4:14.2.0-1 amd64 [installed,automatic]
g++/stable,now 4:14.2.0-1 amd64 [installed,automatic]
gawk/stable,now 1:5.2.1-2+b1 amd64 [installed]
gcc-14-base/stable,now 14.2.0-19 amd64 [installed]
gcc-14-x86-64-linux-gnu/stable,now 14.2.0-19 amd64 [installed,automatic]
gcc-14/stable,now 14.2.0-19 amd64 [installed,automatic]
gcc-x86-64-linux-gnu/stable,now 4:14.2.0-1 amd64 [installed,automatic]
gcc/stable,now 4:14.2.0-1 amd64 [installed,automatic]
gcr4/stable,now 4.4.0.1-3 amd64 [installed,automatic]
gcr/stable,now 3.41.2-3 amd64 [installed,automatic]
gdb/stable,now 16.3-1 amd64 [installed,automatic]
genisoimage/stable,now 9:1.1.11-4 amd64 [installed]
gettext-base/stable,now 0.23.1-2 amd64 [installed,automatic]
ghostscript/stable,stable-security,now 10.05.1~dfsg-1+deb13u1 amd64 [installed,automatic]
gir1.2-girepository-2.0/stable,now 1.84.0-1 amd64 [installed,automatic]
gir1.2-glib-2.0/stable,now 2.84.4-3~deb13u2 amd64 [installed,automatic]
git-man/stable,now 1:2.47.3-0+deb13u1 all [installed,automatic]
git/stable,now 1:2.47.3-0+deb13u1 amd64 [installed]
glib-networking-common/stable,now 2.80.1-1 all [installed,automatic]
glib-networking-services/stable,now 2.80.1-1 amd64 [installed,automatic]
glib-networking/stable,now 2.80.1-1 amd64 [installed,automatic]
gnome-keyring-pkcs11/stable,now 48.0-1 amd64 [installed,automatic]
gnome-keyring/stable,now 48.0-1 amd64 [installed,automatic]
gnome-themes-extra-data/stable,now 3.28-4 all [installed,automatic]
gnupg-l10n/stable,now 2.4.7-21+deb13u1 all [installed,automatic]
gnupg-utils/stable,now 2.4.7-21+deb13u1+b1 amd64 [installed,automatic]
gnupg/stable,now 2.4.7-21+deb13u1 all [installed,automatic]
gnustep-base-common/stable,now 1.31.1-3 all [installed,automatic]
gnustep-base-runtime/stable,now 1.31.1-3 amd64 [installed,automatic]
gnustep-common/stable,now 2.9.3-6 amd64 [installed,automatic]
gnustep-multiarch/stable,now 2.9.3-6 amd64 [installed,automatic]
gnutls-bin/stable,now 3.8.9-3+deb13u1 amd64 [installed,automatic]
gpg-agent/stable,now 2.4.7-21+deb13u1+b1 amd64 [installed,automatic]
gpg-wks-client/stable,now 2.4.7-21+deb13u1+b1 amd64 [installed,automatic]
gpg/stable,now 2.4.7-21+deb13u1+b1 amd64 [installed,automatic]
gpgconf/stable,now 2.4.7-21+deb13u1+b1 amd64 [installed,automatic]
gpgsm/stable,now 2.4.7-21+deb13u1+b1 amd64 [installed,automatic]
gpgv/stable,now 2.4.7-21+deb13u1+b1 amd64 [installed,automatic]
graphviz/stable,now 2.42.4-3 amd64 [installed,automatic]
grep/stable,now 3.11-4 amd64 [installed]
groff-base/stable,now 1.23.0-9 amd64 [installed,automatic]
grub-common/stable,now 2.12-9 amd64 [installed]
grub-efi-amd64-bin/stable,now 2.12-9 amd64 [installed]
grub-efi-amd64-signed/stable,now 1+2.12+9 amd64 [installed,automatic]
grub-efi-amd64-unsigned/stable,now 2.12-9 amd64 [installed,automatic]
grub-pc-bin/stable,now 2.12-9 amd64 [installed]
grub2-common/stable,now 2.12-9 amd64 [installed,automatic]
gsettings-desktop-schemas/stable,now 48.0-1 all [installed,automatic]
gstreamer1.0-gl/stable,now 1.26.2-1 amd64 [installed,automatic]
gstreamer1.0-plugins-base/stable,now 1.26.2-1 amd64 [installed,automatic]
gstreamer1.0-plugins-good/stable,now 1.26.2-1 amd64 [installed,automatic]
gstreamer1.0-x/stable,now 1.26.2-1 amd64 [installed,automatic]
gtk-update-icon-cache/stable,now 4.18.6+ds-2 amd64 [installed,automatic]
gtk2-engines-pixbuf/stable,now 2.24.33-7 amd64 [installed,automatic]
gwenview-doc/stable,now 4:25.04.3-1 all [installed,automatic]
gwenview/stable,now 4:25.04.3-1 amd64 [installed,automatic]
gzip/stable,now 1.13-1 amd64 [installed]
hicolor-icon-theme/stable,now 0.18-2 all [installed,automatic]
hostname/stable,now 3.25 amd64 [installed]
hunspell-en-us/stable,now 1:2020.12.07-4 all [installed,automatic]
ibus-data/stable,now 1.5.32-2 all [installed,automatic]
ifupdown/stable,now 0.8.44 amd64 [installed]
imagemagick-7-common/stable-security,now 8:7.1.1.43+dfsg1-1+deb13u5 all [installed,automatic]
imagemagick-7.q16/stable-security,now 8:7.1.1.43+dfsg1-1+deb13u5 amd64 [installed,automatic]
imagemagick/stable-security,now 8:7.1.1.43+dfsg1-1+deb13u5 amd64 [installed,automatic]
init-system-helpers/stable,now 1.69~deb13u1 all [installed]
init/stable,now 1.69~deb13u1 amd64 [installed]
initramfs-tools-bin/stable,now 0.148.3 amd64 [installed,automatic]
initramfs-tools-core/stable,now 0.148.3 all [installed,automatic]
